"","gvkey","conm","tic","cusip","cik","sic","naics","gsubind","gind","year1","year2"
"8520","035429","RAPT THERAPEUTICS INC","RAPT","75382E109","0001673772","2836","325414","35201010","352010",2017,2021
"8521","035430","SUNDIAL GROWERS INC","SNDL","86730L109","0001766600","2834","325412","35202010","352020",2018,2021
"8522","035435","CANNABIS ETF","THCX","84858T400",NA,"6722","525910",NA,NA,2019,2021
"8523","035441","NETFIN ACQUSITION CORP","NFIN","G6455A107","0001776903","9995","999990",NA,NA,2019,2019
"8524","035446","APTUS COLLARED INM OPPO ETF","ACIO","26922A222",NA,"6722",NA,NA,NA,2019,2021
"8525","035447","DYNATRACE INC","DT","268150109","0001773383","7370","519130","45103010","451030",2016,2021
"8526","035451","ONEWATER MARINE INC","ONEW","68280L101","0001772921","5500","44122","25504050","255040",2017,2021
"8527","035452","CLOUDMINDS INC -ADR -REDH","CMDS","18999H933","0001770540","7370","519130","45202030","452020",2017,2018
"8528","035455","CROSSFIRST BANKSHARES INC","CFB","22766M109","0001458412","6020","522110","40101015","401010",2017,2021
"8529","035458","9F INC -ADR","JFU","65442R109","0001619544","7370","519130","50203010","502030",2017,2021
"8530","035459","FLEXSHARES VOLAT IDX FD ETF","QLV","33939L654",NA,"6722",NA,NA,NA,2019,2021
"8531","035460","FLEXSHARS EMG MKT IDX FD ETF","QLVE","33939L639",NA,"6722",NA,NA,NA,2019,2021
"8532","035461","FLEXSHARES US LOW IDX FD ETF","QLVD","33939L647",NA,"6722",NA,NA,NA,2019,2021
"8533","035462","PICTON MOY FTIFD ALTR FD ETF","PFMS.","72000L102",NA,"6722",NA,NA,NA,2019,2021
"8534","035463","PICTON MONY ACT ALTR FD ETF","PFAE.","72000M100",NA,"6722",NA,NA,NA,2019,2021
"8535","035464","PICTON MNOY INME ALTR FD ETF","PFIA.","71989F102",NA,"6722",NA,NA,NA,2019,2021
"8536","035465","PICTON MON MKT ALTR FD ETF","PFMN.","71989M107",NA,"6722",NA,NA,NA,2019,2021
"8537","035466","WAHED FTSE USA SHARIAH ETF","HLAL","53656F607",NA,"6722",NA,NA,NA,2019,2021
"8538","035471","OPORTUN FINANCIAL CORP","OPRT","68376D104","0001538716","6141","522291","40202010","402020",2014,2021
"8539","035472","EMMAUS LIFE SCIENCES INC","EMMA","29137T101","0000822370","2834","325412","35202010","352020",2018,2021
"8540","035473","AVICANNA INC","AVCNF","05368K100","0001811059","2834",NA,"35202010","352020",2018,2021
"8541","035477","SALARIUS PHARMACEUTICALS INC","SLRX","79400X107","0001615219","2836","325414","35201010","352010",2018,2021
"8542","035481","HIREQUEST INC","HQI","433535101","0001140102","7363","561320","20202010","202020",2018,2021
"8543","035482","WBI BB TD SWITCH US TR ETF","WBIN","00400R833",NA,"6722","525910",NA,NA,2019,2020
"8544","035483","THUNDER BRIDGE ACQ II LTD","THBR","G8857S116","0001769318","9995","999990",NA,NA,2019,2020
"8545","035489","SILVER SPIKE ACQ CORP","SSPK","G8136L106",NA,"9995","999990",NA,NA,2019,2020
"8546","035490","CUSTOM TRUCK ONE SOURCE INC","CTOS","23204X103","0001709682","7359","532412","20107010","201070",2017,2021
"8547","035492","CAMBRIA CANNABIS ETF","TOKE","132061821",NA,"6722","525910",NA,NA,2019,2021
"8548","035494","CHINA LIB EDU HOLD LTD","CLEU","G2161Y109","0001775085","8200","611","25302010","253020",2017,2021
"8549","035496","AMPLIFY SEYMOUR CANNABIS ETF","CNBS","032108854",NA,"6722","525910",NA,NA,2019,2021
"8550","035497","ENVISTA HOLDINGS CORP","NVST","29415F104","0001757073","3843","339114","35101010","351010",2014,2021
"8551","035498","INNOVATOR US EQ PWR ETF -AUG","PAUG","45782C680",NA,"6722","525910",NA,NA,2019,2021
"8552","035499","PRINCIPAL US LG-CAP MU-FA ET","PLC","74255Y789",NA,"6722","525910",NA,NA,2019,2019
"8553","035501","PRINCIPAL INTER MLTI FAC ETF","PDEV","74255Y797",NA,"6722","525910",NA,NA,2019,2020
"8554","035502","PRINCIPAL US SM-MDCP MULT-FA","PSM","74255Y771",NA,"6722","525910",NA,NA,2019,2019
"8555","035530","STABILIS SOLUTIONS INC","SLNG","85236P101","0001043186","1311","211130","10102040","101020",2019,2021
"8556","035532","IQ ULTRA SHORT DURATION ETF","ULTR","45409F819",NA,"6722","525910",NA,NA,2019,2021
"8557","035535","INNOVATOR US EQUITY BUFFER","BAUG","45782C698",NA,"6722","525910",NA,NA,2019,2021
"8558","035536","INNOVATOR US EQ UL ETF -AUG","UAUG","45782C672",NA,"6722","525910",NA,NA,2019,2021
"8559","035539","HYLETE INC -REDH","HYLT","44899L931","0001599738","2300","315","25203010","252030",2017,2018
"8560","035543","OPTION CARE HEALTH INC","OPCH","68404L201","0001014739","8090","621498","35102015","351020",2015,2021
"8561","035544","INMODE LTD","INMD","M5425M103","0001742692","3845","334510","35101010","351010",2017,2021
"8562","035552","ALLIED ESPORTS ENT INC","AESE","019170109","0001708341","7900","711","25301030","253010",2018,2021
"8563","035553","CI FIRST ASSET GBL AST ALLOC","CGAA.","12558P105",NA,"6722","525910",NA,NA,2019,2021
"8564","035583","MEDIACO HOLDING INC","MDIA","58450D104","0001784254","4832","515112","50201020","502010",2017,2021
"8565","035584","AMPLIFY BLCKSWN GTH & TC ETF","SWAN","032108888",NA,"6722","525910",NA,NA,2019,2021
"8566","035585","INNOVTR MSCI EAFE PB ETF JUL","IJUL","45782C722",NA,"6722","525910",NA,NA,2019,2021
"8567","035591","BESPOKE CAPITAL ACQUISI CORP","BSPE","086344108",NA,"9995","999990",NA,NA,2019,2020
"8568","035600","SPRINGWORKS THERAPEUTICS INC","SWTX","85205L107","0001773427","2836","325414","35201010","352010",2017,2021
"8569","035601","SATSUMA PHARMACEUTICALS INC","STSA","80405P107","0001692830","2834","325412","35202010","352020",2017,2021
"8570","035602","SMILEDIRECTCLUB INC","SDC","83192H106","0001775625","3843","339114","35101020","351010",2017,2021
"8571","035603","APEX TECHNOLOGY ACQUISITION","APXT","03768F102",NA,"9995","999990",NA,NA,2019,2020
"8572","035604","CLOUDFLARE INC","NET","18915M107","0001477333","7370","519130","45102030","451020",2016,2021
"8573","035605","RONN MOTOR GROUP -REDH","RONN","76299U939",NA,"3711","33611","25102010","251020",2017,2018
"8574","035608","FIRST TRUST EIP CN IMPCT ETF","ECLN","33738D705",NA,"6722","525910",NA,NA,2019,2021
"8575","035609","NGEX MINERALS LTD","NGXXF","65343P103",NA,"1000","212","15104020","151040",2017,2021
"8576","035611","TFF PHARMACEUTICALS INC","TFFP","87241J104","0001733413","2834","325412","35202010","352020",2017,2021
"8577","035612","GFL ENVIRONMENTAL INC","GFL","36168Q104","0001780232","4950","562","20201050","202010",2017,2021
"8578","035613","INDONESIA ENERGY CORP LTD","INDO","G4760X102","0001757840","1311","2111","10102020","101020",2017,2021
"8579","035614","CERENCE INC","CRNC","156727109","0001768267","7372","511210","45103010","451030",2016,2021
"8580","035617","PING IDENTITY HOLDING CORP","PING","72341T103","0001679826","7370","519130","45103020","451030",2017,2021
"8581","035620","DATADOG INC","DDOG","23804L103","0001561550","7370","519130","45103010","451030",2017,2021
"8582","035621","EXPERIENCE INVSTMNT CORP","EXPC","30217C109",NA,"9995","999990",NA,NA,2019,2020
"8583","035622","NEW PROVIDENCE ACQ CORP","NPA","64822P106",NA,"9995","999990",NA,NA,2019,2020
"8584","035623","E-HOME HH SVRC HLDNG","EJH","G2952X104","0001769768","7600","5617","25302020","253020",2017,2018
"8585","035627","PELOTON INTERACTIVE INC","PTON","70614W100","0001639825","3949","339920","25202010","252020",2017,2021
"8586","035629","FIRST TR CBOE VST US ETF AUG","AUGB.F","33732U109",NA,"6722",NA,NA,NA,2019,2021
"8587","035630","VIELA BIO INC","VIE","926613100","0001734517","2836","325414","35201010","352010",2018,2020
"8588","035632","BRICKELL BIOTECH INC","BBI","10802T204","0000819050","2834","325412","35201010","352010",2018,2021
"8589","035633","INNOVATOR US EQ BUFF ETF-SEP","BSEP","45782C664",NA,"6722","525910",NA,NA,2019,2021
"8590","035634","INNOVATOR US EQ U B ETF-SEP","USEP","45782C649",NA,"6722","525910",NA,NA,2019,2021
"8591","035635","INNOVATOR US EQ P B ETF-SEP","PSEP","45782C656",NA,"6722","525910",NA,NA,2019,2021
"8592","035638","VIR BIOTECHNOLOGY INC","VIR","92764N102","0001706431","2836","325414","35201010","352010",2017,2021
"8593","035639","IGM BIOSCIENCES INC","IGMS","449585108","0001496323","2836","325414","35201010","352010",2017,2021
"8594","035640","10X GENOMICS INC","TXG","88025U109","0001770787","2835","325413","35203010","352030",2017,2021
"8595","035641","HUIZE HOLDING LTD -ADR","HUIZ","44473E105","0001778982","6411","524210","40301010","403010",2017,2021
"8596","035642","PENNANT GROUP INC (THE)","PNTG","70805E109","0001766400","8050","623","35102020","351020",2016,2021
"8597","035645","WISDOMTREE CLD CMUTNG FD ETF","WCLD","97717Y691",NA,"6722","525910",NA,NA,2019,2021
"8598","035646","BOGOTA FINANCIAL CORP","BSBK","097235105","0001787414","6036","522120","40102010","401020",2017,2021
"8599","035647","FREQUENCY THERAPEUTICS INC","FREQ","35803L108","0001703647","2836","325414","35201010","352010",2017,2021
"8600","035648","APREA THERAPEUTICS INC","APRE","03836J102","0001781983","2836","325414","35201010","352010",2017,2021
"8601","035649","ADC THERAPEUTICS SA","ADCT","H0036K147","0001771910","2836","325414","35201010","352010",2018,2021
"8602","035650","ISHARES TR IBND DEC 2029 ETF","IBDU","46436E205",NA,"6722","525910",NA,NA,2019,2021
"8603","035651","INVESCO BLTSHS 29 CRP BD ETF","BSCT","46138J577",NA,"6722","525910",NA,NA,2019,2021
"8604","035653","BIONTECH SE","BNTX","09075V102","0001776985","2836","325414","35201010","352010",2017,2021
"8605","035654","ISHARES SP US SMLCAP IDX ETF","XSMC.","46437K101",NA,"6722","525910",NA,NA,2019,2021
"8606","035655","ISHARES SP US SC IDX ETF HDG","XSMH.","46436H109",NA,"6722","525910",NA,NA,2019,2021
"8607","035656","ISHARES EDG MSCI US QLTY ETF","XQLT.","46436J105",NA,"6722","525910",NA,NA,2019,2021
"8608","035657","ISHARES EDG MSCI US VAL ETF","XVLU.","46437L109",NA,"6722","525910",NA,NA,2019,2021
"8609","035658","ISHARES EDG MSCI US MNTM ETF","XMTM.","46436L100",NA,"6722","525910",NA,NA,2019,2021
"8610","035660","INVESCO BLTSHS 27 HI YD ETF","BSJR","46138J585",NA,"6722","525910",NA,NA,2019,2021
"8611","035664","MONOPAR THERAPEUTICS INC","MNPR","61023L108","0001645469","2836","325414","35201010","352010",2016,2021
"8612","035666","ENTHUSIAST GAMING HLD INC","EGLX","29385B109","0001760247","7372","511210","50203010","502030",2018,2021
"8613","035668","HORIZONS GR TRI PRTFOLIO ETF","HGRO.","44055L105",NA,"6722","525910",NA,NA,2019,2021
"8614","035674","KARAT PACKAGING INC","KRT","48563L101","0001758021","5110","424130","20107010","201070",2019,2021
"8615","035675","GLOBAL INTERNET OF PPL","SDH","G3932F106","0001780731","7370","5415","20202020","202020",2018,2021
"8616","035680","GLOBAL X CANNABIS ETF","POTX","37954Y145",NA,"6722","525910",NA,NA,2019,2021
"8617","035681","AVANTIS EMERGING MKT EQ ETF","AVEM","025072604",NA,"6722","525910",NA,NA,2019,2021
"8618","035684","BELLRING BRANDS INC","BRBR","07831C103","0001772016","2000","312111","30302010","303020",2016,2021
"8619","035685","INVESCO BUL 2023 MUN BND ETF","BSMN","46138J544",NA,"6722","525910",NA,NA,2019,2021
"8620","035686","INVESCO BUL 2024 MUN BND ETF","BSMO","46138J536",NA,"6722","525910",NA,NA,2019,2021
"8621","035687","INVESCO BUL 2025 MUN BND ETF","BSMP","46138J528",NA,"6722","525910",NA,NA,2019,2021
"8622","035688","INVESCO BUL 2026 MUN BND ETF","BSMQ","46138J510",NA,"6722","525910",NA,NA,2019,2021
"8623","035689","INVESCO BUL 2027 MUN BND ETF","BSMR","46138J494",NA,"6722","525910",NA,NA,2019,2021
"8624","035690","INVESCO BUL 2028 MUN BND ETF","BSMS","46138J486",NA,"6722","525910",NA,NA,2019,2021
"8625","035691","INVESCO BUL 2029 MUN BND ETF","BSMT","46138J478",NA,"6722","525910",NA,NA,2019,2021
"8626","035692","FIDELITY SYSTM US HG YILD BD","FCHY.","31615L105",NA,"6722","525910",NA,NA,2019,2021
"8627","035693","FIDELITY SYS US YD BOND CUR","FCHH.","31615M103",NA,"6722","525910",NA,NA,2019,2021
"8628","035694","FIDELITY SYS CAN BND IND ETF","FCCB.","31644F103",NA,"6722","525910",NA,NA,2019,2021
"8629","035695","FIDELITY GLBAL CORE PLUS ETF","FCGB.","31623G106",NA,"6722","525910",NA,NA,2019,2021
"8630","035696","FIDELITY CAN SHRT CO BND ETF","FCSB.","31608N100",NA,"6722","525910",NA,NA,2019,2021
"8631","035697","COLUMBIA RESERCH EN CORE ETF","RECS","19761L706",NA,"6722","525910",NA,NA,2019,2021
"8632","035698","COLUMBIA RESEARCH EN VAL ETF","REVS","19761L805",NA,"6722","525910",NA,NA,2019,2021
"8633","035699","NUVEEN ESG HI YLD CR BND ETF","NUHY","67092P854",NA,"6722","525910",NA,NA,2019,2021
"8634","035700","AVANTIS US SML CAP VAL ETF","AVUV","025072877",NA,"6722","525910",NA,NA,2019,2021
"8635","035701","AVANTIS US EQUITY ETF","AVUS","025072885",NA,"6722","525910",NA,NA,2019,2021
"8636","035702","AVANTIS INTL SML CAP VAL ETF","AVDV","025072802",NA,"6722","525910",NA,NA,2019,2021
"8637","035703","AVANTIS INTERNATIONAL EQ ETF","AVDE","025072703",NA,"6722","525910",NA,NA,2019,2021
"8638","035704","EVOLVE DIV STB PFD SH IN ETF","PREF.","30053D104",NA,"6722","525910",NA,NA,2019,2021
"8639","035708","PROGYNY INC","PGNY","74340E103","0001551306","8090","621999","35102030","351020",2016,2021
"8640","035709","STABLE ROAD ACQ CORP","SRAC","85236Q109",NA,"9995","999990",NA,NA,2019,2020
"8641","035712","OCUGEN INC","OCGN","67577C105","0001372299","2836","325414","35201010","352010",2017,2021
"8642","035714","BEAM THERAPEUTICS INC","BEAM","07373V105","0001745999","2836","325414","35201010","352010",2017,2021
"8643","035715","UNION ACQUSTIN CORP II","LATN","G9402Q100",NA,"9995","99990",NA,NA,2018,2020
"8644","035716","FORTIS MINERALS LLC -REDH","NRI","34999Y933","0001767007","1311","211111","10102020","101020",2017,2018
"8645","035719","INSPIRE INTERNATIONL ESG ETF","WWJD","66538H419",NA,"6722","525910",NA,NA,2019,2021
"8646","035720","OVERLAY SH MUNICIPAL BND ETF","OVM","53656F854",NA,"6722","525910",NA,NA,2019,2021
"8647","035721","OVERLAY SH LARGE CAP EQ ETF","OVL","53656F805",NA,"6722","525910",NA,NA,2019,2021
"8648","035722","OVERLAY SHARE FOREIGN EQ ETF","OVF","53656F870",NA,"6722","525910",NA,NA,2019,2021
"8649","035723","OVERLAY SH SMALL CAP EQ ETF","OVS","53656F888",NA,"6722","525910",NA,NA,2019,2021
"8650","035724","OVERLAY SHARES CORE BOND ETF","OVB","53656F862",NA,"6722","525910",NA,NA,2019,2021
"8651","035725","INNOVATOR GR-100 P B ETF-OCT","NOCT","45782C615",NA,"6722","525910",NA,NA,2019,2021
"8652","035726","INNOVATOR US S CP PB ETF-OCT","KOCT","45782C599",NA,"6722","525910",NA,NA,2019,2021
"8653","035727","CABALETTA BIO INC","CABA","12674W109","0001759138","2836","325414","35201010","352010",2017,2021
"8654","035728","PHATHOM PHARMA INC","PHAT","71722W107","0001783183","2836","325414","35202010","352020",2018,2021
"8655","035729","4D MOLECULAR THER INC","FDMT","35104E100","0001650648","2836","325414","35201010","352010",2018,2021
"8656","035730","AESTHETIC MD INT -ADS","AIH","00809M104","0001757143","8090","621498","35102015","351020",2017,2021
"8657","035731","YOUDAO INC -ADS","DAO","98741T104","0001781753","8200","611710","25302010","253020",2017,2021
"8658","035732","GALILEO ACQ CORP","GLEO","G3770A102",NA,"9995","999990",NA,NA,2019,2020
"8659","035733","36KR HOLDINGS INC -ADS","KRKR","88429K103","0001779476","7370","519130","50203010","502030",2017,2021
"8660","035737","BAOSHENG ME GR HOL LTD","BAOS","G08908116","0001811216","7310","541810","50201010","502010",2018,2021
"8661","035740","GRANITESHARES XOUT US LC ETF","XOUT","38747R603",NA,"6722","525910",NA,NA,2019,2021
"8662","035741","AGFIQ US LS DIV CAD HGD ETF","QUDV.","00111E105",NA,"6722","525910",NA,NA,2019,2019
