"NAME","NAMEHCR","STALP","STNAME","BKCLASS","ASSET","CERT","FED_RSSD","org_name","commented","Commented","mean_ASSET","median_ASSET","mean_ASSET_type","median_ASSET_type"
"Independence Bank",NA,"RI","Rhode Island","NM",45032000,57379,3180136,"independence bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Floridian Community Bank, Inc.","Floridian Community Holdings, Inc.","FL","Florida","NM",480310000,57382,3176812,"floridian community bank, inc.",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Bank of Venice",NA,"FL","Florida","NM",91335000,57386,3158863,"the bank of venice",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"United Bank & Trust National Association","Ames National Corporation","IA","Iowa","N",113025000,57391,3103591,"united bank & trust national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Community National Bank",NA,"MO","Missouri","N",108967000,57395,3121308,"community national bank",TRUE,"Commented",2565978874.81297,145717500,8836714015.10574,126448000
"Bank of Lincoln County",NA,"TN","Tennessee","NM",142494000,57396,3128923,"bank of lincoln county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"McIntosh Commercial Bank",NA,"GA","Georgia","NM",363405000,57399,3123106,"mcintosh commercial bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Summit Community Bank",NA,"MI","Michigan","NM",154051000,57401,3134250,"summit community bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Optum Bank, Inc.",NA,"UT","Utah","NM",7655605000,57408,3202702,"optum bank, inc.",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Horizon Community Bank","Horizon Bancorp, Inc.","AZ","Arizona","NM",249753000,57411,3154780,"horizon community bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Guernsey Bank",NA,"OH","Ohio","NM",120802000,57413,476070,"the guernsey bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Worthington National Bank",NA,"TX","Texas","N",226879000,57414,3150205,"worthington national bank",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"FORCHT BANK, NATIONAL ASSOCIATION","Forcht Bancorp, Inc.","KY","Kentucky","N",1033221000,57415,3141726,"forcht bank, national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Patriot Bank","Security Bancorp Of Tennessee, Inc.","TN","Tennessee","SM",305022000,57416,3120646,"patriot bank",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
"Commercial Bank of California","Ncal Bancorp","CA","California","NM",788357000,57417,3189063,"commercial bank of california",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Highlands Community Bank",NA,"VA","Virginia","SM",140762000,57420,3125315,"highlands community bank",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"County Commerce Bank",NA,"CA","California","NM",256210000,57423,3170276,"county commerce bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Alliance Banking Company",NA,"KY","Kentucky","NM",50137000,57424,3177378,"alliance banking company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Sanibel Captiva Community Bank",NA,"FL","Florida","NM",368112000,57425,3122994,"sanibel captiva community bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Seacoast Commerce Bank","Seacoast Commerce Banc Holdings","CA","California","SM",571873000,57428,3194638,"seacoast commerce bank",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
"Commerce National Bank & Trust","Commerce National Bankshares Of Florida, Inc.","FL","Florida","N",111593000,57429,3148613,"commerce national bank & trust",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Security Bank of North Fulton",NA,"GA","Georgia","NM",190564000,57430,3150474,"security bank of north fulton",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Texas Community Bank, National Association",NA,"TX","Texas","N",159257000,57431,3135097,"texas community bank, national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"American Trust Bank",NA,"GA","Georgia","NM",238205000,57432,3179831,"american trust bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
